# time, flux, model, err
1.860664122796151787e-02 9.999278594881779725e-01 9.999977857873992848e-01 1.534523195430139775e-04
1.864864267554366961e-02 9.998548789769000633e-01 9.999977764793328561e-01 1.534523195430139775e-04
1.869064411584986374e-02 9.998449956482744483e-01 9.999977671712680927e-01 1.534523195430139775e-04
1.873264557798393071e-02 9.995841857157304888e-01 9.999977578631984443e-01 1.534523195430139775e-04
1.877464701829012483e-02 9.997760131365223124e-01 9.999977485551335699e-01 1.534523195430139775e-04
1.881664847314823419e-02 1.000152804767830306e+00 9.999977392470654758e-01 1.534523195430139775e-04
1.885864991345442832e-02 9.996138133471974552e-01 9.999977299390008234e-01 1.534523195430139775e-04
1.890065136831253767e-02 9.999413572299844510e-01 9.999977206309327293e-01 1.534563589931857940e-04
1.894265280861873180e-02 9.998623241673664230e-01 9.999977113228680770e-01 1.534523195430139775e-04
1.898465425620088354e-02 9.998176465502260912e-01 9.999977020148017592e-01 1.534523195430139775e-04
1.902665570378303528e-02 9.997257825686102217e-01 9.999976927067351085e-01 1.534523195430139775e-04
1.906865714408922940e-02 9.996491278985291107e-01 9.999976833986702340e-01 1.534523195430139775e-04
1.911065859894733876e-02 1.000056898261507454e+00 9.999976740906023620e-01 1.534635060380921848e-04
1.915266003925353289e-02 9.995907230246171560e-01 9.999976647825374876e-01 1.534523195430139775e-04
1.919466149411164224e-02 9.999858362282415536e-01 9.999976554744693935e-01 1.534523195430139775e-04
1.923666293441783637e-02 1.000062578465429119e+00 9.999976461664048522e-01 1.534523195430139775e-04
1.927866438927594572e-02 1.000138148914364589e+00 9.999976368583366471e-01 1.534523195430139775e-04
1.932066582958213985e-02 9.999220524617262740e-01 9.999976275502721057e-01 1.534523195430139775e-04
1.936266727716429159e-02 9.999002626725541631e-01 9.999976182422056770e-01 1.534523195430139775e-04
1.940466872474644333e-02 9.997472605294371872e-01 9.999976089341393592e-01 1.534523195430139775e-04
1.944667017232859507e-02 9.998875575121788373e-01 9.999975996260729305e-01 1.534523195430139775e-04
1.948867161991074681e-02 1.000003211713950346e+00 9.999975903180066128e-01 1.534523195430139775e-04
1.953067306021694094e-02 9.998819430658240082e-01 9.999975810099415163e-01 1.534523195430139775e-04
1.957267451507505029e-02 9.999622791979905223e-01 9.999975717018738663e-01 1.534523195430139775e-04
1.961467595538124442e-02 9.999245085661876420e-01 9.999975623938087699e-01 1.534564948624929728e-04
1.965667741023935378e-02 9.994674557284469740e-01 9.999975530857406758e-01 1.534523195430139775e-04
1.969867885782150552e-02 9.998733555683962937e-01 9.999975437776742471e-01 1.534664090283854052e-04
1.974068031267961487e-02 9.999798521728784362e-01 9.999975344696063750e-01 1.534523195430139775e-04
1.978268175298580900e-02 9.998684504148332985e-01 9.999975251615415006e-01 1.534523195430139775e-04
1.982468320056796074e-02 9.999106720501638179e-01 9.999975158534751829e-01 1.534523195430139775e-04
1.986668464815011248e-02 9.997778449197072259e-01 9.999975065454087542e-01 1.534840425488031949e-04
1.990868608845630661e-02 9.997571547446459927e-01 9.999974972373442128e-01 1.534523195430139775e-04
1.995068754331441596e-02 9.998125585307477969e-01 9.999974879292760077e-01 1.534616602525256670e-04
1.999268898362061009e-02 9.996163918186888875e-01 9.999974786212112443e-01 1.534523195430139775e-04
2.003469043847871944e-02 9.997045079860338301e-01 9.999974693131432613e-01 1.534523195430139775e-04
2.007669187878491357e-02 9.998670952997503747e-01 9.999974600050784979e-01 1.534749215907527011e-04
2.011869333364302292e-02 9.999686533336435978e-01 9.999974506970102928e-01 1.534445372671163247e-04
2.016069477394921705e-02 9.998973219574693871e-01 9.999974413889455294e-01 1.534523195430139775e-04
2.020269622153136879e-02 9.998521594234693888e-01 9.999974320808791006e-01 1.534523195430139775e-04
2.024469766911352053e-02 1.000006569528503864e+00 9.999974227728127829e-01 1.534523195430139775e-04
2.028669911669567227e-02 9.999457815579445574e-01 9.999974134647463542e-01 1.534580629589647630e-04
2.032870056427782401e-02 9.997292137254845112e-01 9.999974041566800365e-01 1.534523195430139775e-04
2.037070200458401814e-02 9.997788479463748379e-01 9.999973948486151620e-01 1.534613964965219214e-04
2.041270345944212750e-02 9.998625961842663168e-01 9.999973855405472900e-01 1.534528690602150074e-04
2.045470489974832162e-02 9.998412714602619156e-01 9.999973762324824156e-01 1.534872268641966208e-04
2.049670635460643098e-02 9.999366631921017268e-01 9.999973669244143215e-01 1.534523195430139775e-04
2.053870779491262510e-02 1.000045139292347063e+00 9.999973576163494471e-01 1.534523195430139775e-04
